time_ms,ax_raw_mps2,ay_raw_mps2,az_raw_mps2,ax_kf_mps2,ay_kf_mps2,az_kf_mps2,vx_2state_kf_lightlpf_mps,vy_2state_kf_lightlpf_mps,vz_2state_kf_lightlpf_mps,v_mag
366859.000000,-6.080000,1.980000,10.880000,-4.609007,1.180879,6.960323,-0.187486,0.023403,0.256998,0.318978
366871.000000,-5.160000,2.390000,10.430000,-4.824108,1.652906,8.314844,-0.250900,0.048461,0.379340,0.457382
366897.000000,-5.010000,2.790000,11.740000,-4.896678,2.096814,9.651984,-0.381713,0.113339,0.672527,0.781565
366909.000000,-4.310000,2.650000,11.100000,-4.667646,2.312771,10.217273,-0.435296,0.143573,0.806361,0.927531
366924.000000,-3.800000,2.390000,10.640000,-4.328927,2.342920,10.382301,-0.494374,0.178744,0.968268,1.101770
368760.000000,-0.080000,0.080000,-0.010000,-2.638965,1.428272,6.329173,-0.508491,0.186848,1.007040,1.143505
368775.000000,-0.120000,0.090000,0.020000,-1.608744,0.870691,3.858338,-0.514129,0.189570,1.021788,1.159447
368800.000000,-0.120000,0.130000,0.000000,-0.980709,0.530784,2.352089,-0.517520,0.191103,1.029160,1.167698
368815.000000,-0.090000,0.100000,0.000000,-0.597852,0.323572,1.433861,-0.518159,0.191168,1.030486,1.169160
368831.000000,-0.130000,0.070000,0.020000,-0.364458,0.197253,0.874099,-0.518842,0.190627,1.031132,1.169944
368848.000000,-0.120000,0.110000,0.020000,-0.222178,0.120248,0.532861,-0.519449,0.190333,1.031575,1.170556
368862.000000,-0.120000,0.140000,0.000000,-0.135442,0.073305,0.324838,-0.519919,0.190455,0.041635,0.555268
368878.000000,-0.100000,0.070000,-0.010000,-0.082567,0.044687,0.198025,-0.018461,0.006740,0.007922,0.021190
368890.000000,-0.120000,0.050000,0.010000,-0.050334,0.027242,0.120719,-0.004758,0.001431,-0.001570,0.005211
368906.000000,-0.110000,0.140000,0.000000,-0.030684,0.016607,0.073591,0.000953,-0.000516,-0.005916,0.006015
368920.000000,-0.120000,0.130000,0.000000,-0.018705,0.010124,0.044862,0.002787,-0.001103,-0.007279,0.007872
368938.000000,-0.120000,0.090000,0.010000,-0.011403,0.006172,0.027349,0.003340,-0.001408,-0.007365,0.008208
368952.000000,-0.110000,0.090000,0.030000,-0.006951,0.003762,0.016672,0.003583,-0.001556,-0.007421,0.008386
368968.000000,-0.110000,0.120000,-0.020000,-0.004238,0.002294,0.010163,0.003651,-0.001496,-0.007529,0.008500
368982.000000,-0.110000,0.120000,-0.040000,-0.002583,0.001398,0.006196,0.003678,-0.001448,-0.007690,0.008647
368998.000000,-0.150000,0.130000,0.030000,-0.060133,0.000852,0.003777,0.003456,-0.001350,-0.007352,0.008235
369012.000000,-0.110000,0.120000,0.010000,-0.036658,0.000520,0.002303,0.003484,-0.001340,-0.007245,0.008150
369028.000000,-0.120000,0.090000,-0.010000,-0.022347,0.000317,0.001404,0.003410,-0.001427,-0.007118,0.008020
369042.000000,-0.120000,0.110000,0.000000,-0.013623,0.000193,0.000856,0.003382,-0.001416,-0.007058,0.007954
369058.000000,-0.090000,0.110000,-0.040000,-0.008305,0.000118,0.000522,0.003409,-0.001368,-0.007023,0.007926
369072.000000,-0.080000,0.110000,0.000000,-0.005063,0.000072,0.000318,0.003485,-0.001348,-0.006905,0.007851
369088.000000,-0.120000,0.110000,0.000000,-0.003086,0.000044,0.000194,0.003305,-0.001309,-0.006671,0.007559
369102.000000,-0.110000,0.120000,0.010000,-0.001881,0.000027,0.000118,0.003244,-0.001259,-0.006546,0.007413
369118.000000,-0.080000,0.120000,-0.010000,-0.001147,0.000016,0.000072,0.003261,-0.001200,-0.006411,0.007292
369132.000000,-0.090000,0.100000,-0.050000,-0.000699,0.000010,0.000044,0.003261,-0.001250,-0.006529,0.007404
369148.000000,-0.130000,0.110000,0.010000,-0.000426,0.000006,0.000027,0.003035,-0.001225,-0.006251,0.007056
369162.000000,-0.100000,0.100000,0.010000,-0.000260,0.000004,0.000016,0.003025,-0.001248,-0.006106,0.006928
369178.000000,-0.100000,0.100000,0.000000,-0.000158,0.000002,0.000010,0.002974,-0.001239,-0.005935,0.006753
369192.000000,-0.120000,0.110000,0.010000,-0.000097,0.000001,0.000006,0.002889,-0.001201,-0.005847,0.006631
369208.000000,-0.120000,0.100000,-0.010000,-0.000059,0.000001,0.000004,0.002770,-0.001188,-0.005748,0.006490
369222.000000,-0.080000,0.100000,0.000000,-0.000036,0.000001,0.000002,0.002871,-0.001190,-0.005696,0.006489
369248.000000,-0.110000,0.080000,0.000000,-0.000022,0.000000,0.000001,0.002257,-0.001023,-0.004513,0.005148
369261.000000,-0.120000,0.100000,0.020000,-0.000013,0.000000,0.000001,0.002370,-0.001072,-0.004783,0.005445
